calles,engine,tipo_calle,caracteristica_calle,tipo_siniestro,entidad_instructora,tipo_participante,marca_participante,modelo_participante,sexo,rol,causa,lugar_via,tiempo
COLONIA AV.,,,,,,,,cx 750,,,,,
COLPAYO,,,,,,,,cy 80 a,,,,,
COLUMBIA,,,,,,,,cz 150,,,,,
"COLLIVADINO, PIO",,,,,,,,cz 200,,,,,
COMBATE DE LOS POZOS,,,,,,,,d 20,,,,,
CONCORDIA,,,,,,,,d 4 d,,,,,
CONDARCO,,,,,,,,daily,,,,,
CONDE,,,,,,,,dakar,,,,,
CONDOR,,,,,,,,dakar 200,,,,,
CONESA,,,,,,,,dax,,,,,
CONGRESO,,,,,,,,dax 70,,,,,
CONGRESO AV.,,,,,,,,daystar,,,,,
"CONI, EMILIO R., DR.",,,,,,,,daystar 250,,,,,
CONSTANTINOPLA,,,,,,,,daytona,,,,,
CONSTITUCION,,,,,,,,daytona�350,,,,,
CONVENCION,,,,,,,,dink scooter,,,,,
COOPERACION,,,,,,,,dk 110,,,,,
COPAHUE,,,,,,,,dk 150,,,,,
COPENHAGUE,,,,,,,,dk 200,,,,,
COPERNICO,,,,,,,,dlx 110,,,,,
CORDOBA,,,,,,,,doblo,,,,,
CORDOBA AV.,,,,,,,,dominator,,,,,
"CORONADO, MARTIN",,,,,,,,dorsoduro,,,,,
CORONDA,,,,,,,,downtown,,,,,
CORRALES,,,,,,,,dp 200,,,,,
CORREA,,,,,,,,dr 200,,,,,
"LAVAYSSE, BENJAMIN J. (EX CORREA, BENITO) (NO OFICIAL)",,,,,,,,dr 250,,,,,
"CORREA, GUILLERMO, DR.",,,,,,,,dr 350,,,,,
"CORREA MORALES, LUCIO",,,,,,,,ds 110,,,,,
CORREGIDORES,,,,,,,,ds 2,,,,,
CORRIENTES AV.,,,,,,,,dt 150,,,,,
"CORTEJARENA, JOSE A.",,,,,,,,dt 175,,,,,
"CORTES, GERONIMO",,,,,,,,dual 150,,,,,
CORTINA,,,,,,,,ducato,,,,,
CORVALAN,,,,,,,,due,,,,,
COSQUIN,,,,,,,,due 110,,,,,
GARCIA DE COSSIO,,,,,,,,duke,,,,,
"COSTA, EDUARDO",,,,,,,,duke 200,,,,,
COSTA RICA,,,,,,,,duna,,,,,
COTAGAITA,,,,,,,,duna weekend,,,,,
COTOCOLLAO,,,,,,,,duster,,,,,
"COUTO, MIGUEL",,,,,,,,dx 200,,,,,
"COUTURE, EDUARDO J.",,,,,,,,e 240,,,,,
CRAIG,,,,,,,,e250,,,,,
CRAMER,,,,,,,,eagle,,,,,
CRAMER AV.,,,,,,,,eagle 150,,,,,
CRAINQUEVILLE,,,,,,,,eagle 250,,,,,
CRANWELL,,,,,,,,eclipse,,,,,
CRESPO,,,,,,,,eco 70,,,,,
CRUZ DEL EJE,,,,,,,,econo,,,,,
CRUZ DEL SUD,,,,,,,,ecopower,,,,,
"FERNANDEZ DE LA CRUZ, F., GRAL. AV.",,,,,,,,eco sport,,,,,
"CRUZ, OSVALDO",,,,,,,,ed 150,,,,,
"CRUZ, OSVALDO AV.",,,,,,,,ego 110,,,,,
CUBA,,,,,,,,elantra,,,,,
"CUBAS, JOSE",,,,,,,,elektra 150,,,,,
CUCHA CUCHA,,,,,,,,elite 125,,,,,
"GARCIA LORCA, FEDERICO",,,,,,,,elite 80,,,,,
CUENCA,,,,,,,,en 125,,,,,
"CUERVO, RUFINO J.",,,,,,,,en150,,,,,
CULLEN,,,,,,,,energy 110,,,,,
CULPINA,,,,,,,,er 5,,,,,
"CUNEO, FRANCISCO",,,,,,,,er6n,,,,,
"CUNNINGHAME GRAHAM, ROBERTO",,,,,,,,escort,,,,,
CURA BROCHERO,,,,,,,,espero,,,,,
CURAPALIGUE,,,,,,,,etios,,,,,
CURAPALIGUE AV.,,,,,,,,euro,,,,,
"CURIE, MARIA AV.",,,,,,,,euro 300,,,,,
CURITYBA,,,,,,,,europa,,,,,
CURUPAYTI,,,,,,,,ex 150,,,,,
CURUZU CUATIA,,,,,,,,ex 150k,,,,,
CUYO,,,,,,,,excel,,,,,
CUZCO,,,,,,,,expert,,,,,
CHACABUCO,,,,,,,,expert 80,,,,,
CHACO,,,,,,,,explorer,,,,,
"CHAGAS, CARLOS",,,,,,,,express,,,,,
CHAJARI,,,,,,,,f 100,,,,,
CHAMICAL,,,,,,,,f 1000,,,,,
CHARCAS,,,,,,,,f 14000,,,,,
CHARLONE,,,,,,,,f 150,,,,,
CHARRUA,,,,,,,,f 2,,,,,
CHASCOMUS,,,,,,,,f 250,,,,,
"CHASSAING, JUAN",,,,,,,,f 350,,,,,
"CHAVEZ, JORGE",,,,,,,,f 400,,,,,
CHECOSLOVAQUIA,,,,,,,,f 4000,,,,,
"CHENAUT, INDALESIO, GRAL. AV.",,,,,,,,f 600,,,,,
CHICLANA AV.,,,,,,,,f 650,,,,,
CHICOANA,,,,,,,,f 700,,,,,
"CHILAVERT, MARTINIANO, CORONEL",,,,,,,,f 7000,,,,,
CHILE,,,,,,,,f 800,,,,,
CHILE AV.,,,,,,,,fairlane,,,,,
CHILECITO,,,,,,,,falcon,,,,,
CHIMBORAZO,,,,,,,,falcon rural,,,,,
CHINA,,,,,,,,fan,,,,,
CHIRIGUANOS,,,,,,,,faser,,,,,
CHIRIMAY,,,,,,,,faze 250,,,,,
CHORROARIN,,,,,,,,fazer 125,,,,,
CHORROARIN AV.,,,,,,,,fazer 160,,,,,
CHUBUT,,,,,,,,fazer 600,,,,,
CHUMBICHA,,,,,,,,festiva,,,,,
"CHUTRO, PEDRO, PROF., DR.",,,,,,,,fielder,,,,,
CHONINO,,,,,,,,fiesta,,,,,
CABOTO,,,,,,,,fiesta max,,,,,
"CASTRO, ROSALIA DE",,,,,,,,fiorino,,,,,
"CUTER, LUISITO",,,,,,,,fire,,,,,
CORBETA URUGUAY,,,,,,,,fire 50,,,,,
"PY, COMODORO AV.",,,,,,,,fit,,,,,
"CASTILLO, RAMON S., PRES. AV.",,,,,,,,flash,,,,,
"CANARD, BENJAMIN, DR.",,,,,,,,flash 110,,,,,
CHIVILCOY,,,,,,,,fluence,,,,,
CHIVILCOY AV.,,,,,,,,fly ce�110,,,,,
CAÑONERA AMERICA,,,,,,,,focus,,,,,
CORBETA AGREABLE,,,,,,,,forester,,,,,
CORBETA BELFAST,,,,,,,,forza,,,,,
CAZADORES,,,,,,,,fourtrax,,,,,
"COSTAMAGNA, SANTIAGO",,,,,,,,fox,,,,,
COMBATE DE SAN CARLOS,,,,,,,,free lander,,,,,
"CANTILO, JOSE LUIS",,,,,,,,frontier,,,,,
5 DE JULIO,,,,,,,,fu 107,,,,,
COMBATE DE COSTA BRAVA,,,,,,,,fu 110,,,,,
"COSSETTINI, OLGA",,,,,,,,fuego,,,,,
CRUCERO GRAL. BELGRANO,,,,,,,,fu / fun 110,,,,,
"DRESCO, ARTURO ANTONIO",,,,,,,,full,,,,,
DAGUERRE,,,,,,,,fun,,,,,
"DAMIANOVICH, ELEODORO, DR.",,,,,,,,fun 125,,,,,
"D'AMICIS, EDMUNDO",,,,,,,,fun 1.4,,,,,
DANEL,,,,,,,,function,,,,,
"DANTAS, JULIO S.",,,,,,,,fusca 1300l,,,,,
DANTE,,,,,,,,fusion,,,,,
DARACT AV.,,,,,,,,fusion 110,,,,,
"DARQUIER, JUAN",,,,,,,,fv 110,,,,,
DARREGUEYRA,,,,,,,,fv 125,,,,,
"KENNEDY, JOHN FITZGERALD",,,,,,,,fv 86,,,,,
DARWIN,,,,,,,,fx 110,,,,,
DAVILA,,,,,,,,fx 125,,,,,
"DA VINCI, LEONARDO",,,,,,,,fx 150,,,,,
DEAN FUNES,,,,,,,,fx 16,,,,,
"DEDICO, DOMINGO, AGENTE",,,,,,,,fxr,,,,,
DEFENSA,,,,,,,,fxr 2000,,,,,
DEHEZA,,,,,,,,fz,,,,,
DEKAY,,,,,,,,fz 125,,,,,
"CARCOVA, DE LA",,,,,,,,fz 150,,,,,
DE LA ECONOMIA,,,,,,,,fz 153,,,,,
DE LA INDUSTRIA,,,,,,,,fz 16,,,,,
DELAMBRE,,,,,,,,fz 160,,,,,
DE LA PIEDAD,,,,,,,,fz 168,,,,,
"PLAZA, VICTORINO DE LA, DR.",,,,,,,,fz 19,,,,,
RIESTRA AV.,,,,,,,,fz 2,,,,,
"ROBLA, JUAN F., DE LA",,,,,,,,fz 200,,,,,
"SALA, CANDIDO DE LA, TTE.",,,,,,,,fz 250,,,,,
"DEALESSI, PIERINA",,,,,,,,fz 26,,,,,
DE LAS ARTES,,,,,,,,fz 36,,,,,
"CARRERAS, SANTIAGO DE LAS",,,,,,,,fz 6,,,,,
DE LAS CIENCIAS,,,,,,,,fz 8,,,,,
DE LAS GARANTIAS,,,,,,,,fz 800,,,,,
DE LA TECNICA,,,,,,,,g 1,,,,,
"VEGA, VENTURA DE LA",,,,,,,,g 105,,,,,
DEL BAÑADO,,,,,,,,g 110,,,,,
"VALLE, J.J., GRAL. DIV.",,,,,,,,g1 250,,,,,
DEL BUEN ORDEN,,,,,,,,g 150,,,,,
DEL CAMPO AV.,,,,,,,,g 6,,,,,
DEL CARMEN,,,,,,,,g 70,,,,,
"CARRIL, SALVADOR MARIA DEL AV.",,,,,,,,g 90,,,,,
DEL COLEGIO,,,,,,,,gacel,,,,,
DEL COMERCIO,,,,,,,,galant,,,,,
DELGADO,,,,,,,,galaxy,,,,,
DE LOS CONSTITUYENTES AV.,,,,,,,,galloper,,,,,
DE LOS CORRALES AV.,,,,,,,,gb 1100,,,,,
DE LOS INCAS AV.,,,,,,,,gb 250,,,,,
DE LOS ITALIANOS AV.,,,,,,,,gbx 250,,,,,
DEL PARQUE,,,,,,,,gc150,,,,,
"PINO, VIRREY DEL",,,,,,,,genesis,,,,,
DEL PROGRESO,,,,,,,,geremy,,,,,
DEL SIGNO,,,,,,,,gla 110,,,,,
"BALBIN, RICARDO, DR. AV.",,,,,,,,gm70,,,,,
DEL TEMPLE,,,,,,,,gmx,,,,,
DEL TIGRE,,,,,,,,gn 125,,,,,
"PERON, EVA AV.",,,,,,,,gn 125h,,,,,
"VALLE, ARISTOBULO DEL",,,,,,,,gn 150,,,,,
"VALLE, MARIA R. DEL",,,,,,,,gol,,,,,
"VALLE IBERLUCEA DEL, DR.",,,,,,,,gol country,,,,,
"DELLEPIANE, LUIS",,,,,,,,golf,,,,,
DEMARIA,,,,,,,,gol power,,,,,
"DEMARIA, ISIDORO",,,,,,,,gol trend,,,,,
"DEMARIA, MARIANO",,,,,,,,gr 1,,,,,
DE MAYO AV.,,,,,,,,grand dink,,,,,
DERQUI AV.,,,,,,,,grand vitara,,,,,
DESAGUADERO,,,,,,,,grand�cherokee,,,,,
DESEADO,,,,,,,,gs 650,,,,,
"UZAL, FRANCISCO DE",,,,,,,,gsl 150,,,,,
"DEVOTO, FORTUNATO",,,,,,,,gt 250,,,,,
DIAMANTE,,,,,,,,gt 70,,,,,
"DIAZ, AVELINO",,,,,,,,gto classin,,,,,
"DIAZ, CESAR, GRAL.",,,,,,,,gtr 250,,,,,
"DIAZ, CESAR, GRAL. AV.",,,,,,,,gxl 150,,,,,
"DIAZ, CNEL. AV.",,,,,,,,h1,,,,,
DIAZ VELEZ AV.,,,,,,,,hawker,,,,,
"DICKMAN, ADOLFO, DR.",,,,,,,,hd 125,,,,,
"DIEZ DE MEDINA, CLEMENTE",,,,,,,,hd 150,,,,,
DINAMARCA,,,,,,,,hd 250,,,,,
DIRECTORIO AV.,,,,,,,,helix,,,,,
DOBLAS,,,,,,,,hero,,,,,
12 DE OCTUBRE,,,,,,,,hiace,,,,,
DOLORES,,,,,,,,hilux,,,,,
DONADO,,,,,,,,hj 125,,,,,
DON BOSCO,,,,,,,,hn 125 h,,,,,
DON CRISTOBAL,,,,,,,,huawei,,,,,
DONIZETTI,,,,,,,,hunter,,,,,
DON SEGUNDO SOMBRA,,,,,,,,hunter 150,,,,,
DORREGO,,,,,,,,hunter iso,,,,,
DORREGO AV.,,,,,,,,hurricane,,,,,
"DRAGO, LUIS MARIA",,,,,,,,i10,,,,,
DRAGONES,,,,,,,,i30,,,,,
DRUMOND,,,,,,,,ibiza,,,,,
"DUARTE, JUAN PABLO",,,,,,,,ibr,,,,,
DUBLIN,,,,,,,,ibr 125,,,,,
"DUMAS, ALEJANDRO",,,,,,,,ibr 150,,,,,
"DUMONT, SANTOS",,,,,,,,ibr 200,,,,,
REPUBLICA DE ESLOVENIA,,,,,,,,ibr 250,,,,,
DUPUY,,,,,,,,idea,,,,,
"RAWSON DE DELLEPIANE, ELVIRA AV.",,,,,,,,ika,,,,,
"DE SIMONE, VICENTE",,,,,,,,im 25,,,,,
"DELLEPIANE, LUIS, TTE. GRAL.",,,,,,,,imola,,,,,
"D'ESPOSITO, ARNALDO",,,,,,,,impreza,,,,,
"DELLA PAOLERA, CARLOS M.",,,,,,,,inca baw b40,,,,,
RAUCH,,,,,,,,innocenti,,,,,
"CASTILLO, JUAN DEL",,,,,,,,insa,,,,,
"MORENO, PERITO AV.",,,,,,,,intruder,,,,,
"JOVELLANOS, GASPAR M. DE",,,,,,,,invicta,,,,,
"CORRO, MIGUEL C. DEL, CANONIGO AV.",,,,,,,,istana,,,,,
MONROE,,,,,,,,jc 110,,,,,
MONROE AV.,,,,,,,,journey,,,,,
"DESCALZI, NICOLAS",,,,,,,,js,,,,,
DE LOS INMIGRANTES AV.,,,,,,,,js 110,,,,,
"DIAZ, ANA",,,,,,,,js 123,,,,,
2 DE ABRIL DE 1982,,,,,,,,js 125,,,,,
DE LOS OMBUES AV.,,,,,,,,js 125 b,,,,,
"DE LA BARRA,  EMMA",,,,,,,,js 150,,,,,
ECUADOR,,,,,,,,k 1200,,,,,
"ECHAGUE, CARLOS, ING.",,,,,,,,k 150,,,,,
"CASTILLO, CATULO",,,,,,,,k 16,,,,,
"ECHAGUE, PEDRO",,,,,,,,k2700,,,,,
ECHAURI,,,,,,,,k 65,,,,,
CONTINUACION ECHEANDIA (NO OFICIAL),,,,,,,,ka,,,,,
ECHEANDIA,,,,,,,,kadett,,,,,
ECHENAGUCIA,,,,,,,,kangoo,,,,,
ECHEVERRIA,,,,,,,,katana,,,,,
"ECHEVARRIA, VICENTE A. DE",,,,,,,,kazer,,,,,
"EDISON, TOMAS A. AV.",,,,,,,,kb 150,,,,,
"EGUIA, MANUEL",,,,,,,,klr 250,,,,,
"EGUIA, OSVALDO, DR.",,,,,,,,klx 250,,,,,
"EINSTEIN, ALBERTO",,,,,,,,kn 110,,,,,
EL ALFABETO,,,,,,,,kn 150,,,,,
EL ARAUCANO,,,,,,,,koleos,,,,,
EL ARTESANO,,,,,,,,korando,,,,,
ELCANO,,,,,,,,kr 150,,,,,
ELCANO AV.,,,,,,,,kr 260,,,,,
EL CARDENAL,,,,,,,,kryon gsl 150,,,,,
EL CARPINTERO,,,,,,,,kuga,,,,,
EL CEIBO,,,,,,,,laguna,,,,,
EL CERRO,,,,,,,,lancer,,,,,
"DUMAS, VITO",,,,,,,,lancer 110,,,,,
EL CRIOLLO,,,,,,,,lateral,,,,,
EL CHACHO,,,,,,,,ld 110,,,,,
EL CHASQUE,,,,,,,,ld 110s,,,,,
EL DELTA,,,,,,,,ld 118,,,,,
EL DOMADOR,,,,,,,,legacy,,,,,
EL FOGON,,,,,,,,leon,,,,,
EL FUERTE,,,,,,,,lg 125,,,,,
EL GAUCHO,,,,,,,,liberty,,,,,
EL HORNERO,,,,,,,,like 125,,,,,
"BONAVENA, OSCAR NATALIO",,,,,,,,logan,,,,,
ELIA,,,,,,,,loretta,,,,,
"ELIZALDE, RUFINO DE",,,,,,,,luxury,,,,,
"ZAZPE, VICENTE FAUSTINO MONSEÑOR",,,,,,,,lx 125,,,,,
EL LITORAL,,,,,,,,lx 150,,,,,
EL MAESTRO,,,,,,,,lx 250,,,,,
EL METODO,,,,,,,,lx 883,,,,,
EL MIRASOL,,,,,,,,m 110,,,,,
EL MISIONERO,,,,,,,,m 125,,,,,
EL NENE,,,,,,,,m 200,,,,,
EL ÑANDU,,,,,,,,m 5,,,,,
EL PAMPERO,,,,,,,,m 6,,,,,
EL PEREGRINO,,,,,,,,m 68,,,,,
EL PROFETA DE LA PAMPA,,,,,,,,m 70,,,,,
EL QUIJOTE,,,,,,,,magic,,,,,
EL RANCHO,,,,,,,,magic 110,,,,,
EL RASTREADOR,,,,,,,,magic 125,,,,,
EL RECADO,,,,,,,,magic econo g50,,,,,
EL REFRAN,,,,,,,,magna,,,,,
EL SALVADOR,,,,,,,,majesty,,,,,
EL SAUCE,,,,,,,,malibu,,,,,
EL SERENO,,,,,,,,man metz,,,,,
EL TALA,,,,,,,,manta,,,,,
EL TREBOL,,,,,,,,marbella,,,,,
EL TROVADOR,,,,,,,,march,,,,,
EL ZONDA,,,,,,,,marea,,,,,
EL ZORZAL,,,,,,,,master,,,,,
EMPEDRADO,,,,,,,,matiz,,,,,
"ENCINA, CARLOS",,,,,,,,max 110,,,,,
ENSENADA,,,,,,,,md 125,,,,,
ENTRE RIOS AV.,,,,,,,,md 150,,,,,
EPECUEN,,,,,,,,md 200,,,,,
EPUYEN,,,,,,,,medal 169,,,,,
ERASMO,,,,,,,,megane,,,,,
ERCILLA,,,,,,,,megelli,,,,,
EREZCANO,,,,,,,,meriva,,,,,
EREZCANO AV.,,,,,,,,milestone,,,,,
ESCALADA AV.,,,,,,,,milestone�150,,,,,
"ESCALADA, CELEDONIO CMTE.",,,,,,,,miracle,,,,,
"ESCALADA DE SAN MARTIN, R.",,,,,,,,mirage,,,,,
ESCOBAR,,,,,,,,mirage 110,,,,,
ESCRIBANO,,,,,,,,mj 12,,,,,
ESMERALDA,,,,,,,,mj 125,,,,,
ESNAOLA,,,,,,,,modelo de la marca honda,,,,,
ESPAÑA AV.,,,,,,,,mondeo,,,,,
ESPARTACO,,,,,,,,monocross,,,,,
"ESPEJO, GERONIMO, GRAL.",,,,,,,,montain bike,,,,,
ESPINILLO,,,,,,,,montana,,,,,
"CORTAZAR, JULIO",,,,,,,,montero,,,,,
ESPINOSA,,,,,,,,montero 150,,,,,
ARZOBISPO ESPINOSA,,,,,,,,monza,,,,,
ESPRONCEDA,,,,,,,,motard,,,,,
ESQUEL,,,,,,,,motard 200,,,,,
ESQUINA,,,,,,,,motomaxx,,,,,
ESQUIU,,,,,,,,muchos modelos,,,,,
ESTADO DE ISRAEL AV.,,,,,,,,n 4700,,,,,
ESTADOS UNIDOS,,,,,,,,ncx 700,,,,,
ESTERO BELLACO,,,,,,,,neon,,,,,
ESTEVES SAGUI,,,,,,,,nevada,,,,,
"ESTEVEZ, JOSE, ING.",,,,,,,,nevada 110,,,,,
ESTIVAO,,,,,,,,nevada 125,,,,,
ESTOCOLMO,,,,,,,,new fire,,,,,
ESTOMBA,,,,,,,,nf 100,,,,,
ESTONIA,,,,,,,,nf 700,,,,,
ESTRADA,,,,,,,,ninja,,,,,
"ESTRADA, JUEZ",,,,,,,,ninja 250,,,,,
ESTRELLA FEDERAL,,,,,,,,ninja 300,,,,,
EUCLIDES,,,,,,,,ninja zx,,,,,
EZEIZA,,,,,,,,nitro 200,,,,,
"EZEIZA, GABINO",,,,,,,,niva,,,,,
ESPARZA,,,,,,,,nubira,,,,,
"DE MOUSSY, MARTIN",,,,,,,,nx,,,,,
"EYLE, PETRONA",,,,,,,,nx 125,,,,,
"EZCURRA, ENCARNACION",,,,,,,,nx 150,,,,,
FABRE,,,,,,,,nx 200,,,,,
FACUNDO,,,,,,,,nx 250,,,,,
"FADER, FERNANDO",,,,,,,,nx4 falcon,,,,,
"FAGNANO, JOSE AV.",,,,,,,,nx 650,,,,,
PADRE FAHY,,,,,,,,nxr 125,,,,,
"FALCON, RAMON L.,CNEL.",,,,,,,,nxr bross,,,,,
"FALCON, RAMON L.,CNEL. AV.",,,,,,,,onix,,,,,
FALUCHO,,,,,,,,orion,,,,,
FAMAILLA,,,,,,,,outlook,,,,,
FAMATINA,,,,,,,,overdrive,,,,,
FARADAY,,,,,,,,palio,,,,,
FECUNDIDAD,,,,,,,,palio adventure,,,,,
FERNANDEZ,,,,,,,,palio fire,,,,,
FERNANDEZ BLANCO,,,,,,,,palio weekend,,,,,
FERNANDEZ DE ENCISO,,,,,,,,partner,,,,,
FERNANDEZ ESPIRO DIEGO,,,,,,,,passat,,,,,
"FERNANDEZ, MACEDONIO",,,,,,,,patagonian,,,,,
FERRARI,,,,,,,,patagonian 150,,,,,
"FERRARI, ANTONINO M.",,,,,,,,patagonica,,,,,
FERRE,,,,,,,,pathfinder,,,,,
"FERREYRA, ANDRES",,,,,,,,patriot,,,,,
FERROCARRIL,,,,,,,,people,,,,,
"FIGUEROA ALCORTA, PRES. AV.",,,,,,,,people 150,,,,,
"FIGUEROA, D. APOLINARIO, CORONEL",,,,,,,,people 250,,,,,
FILIBERTO,,,,,,,,people 50,,,,,
FINLANDIA,,,,,,,,phantom,,,,,
"FINLAY, CARLOS J. AV.",,,,,,,,picanto,,,,,
"FINOCHIETTO, RICARDO, DR.",,,,,,,,picasso,,,,,
FINOCHIETTO ENRIQUE DR.,,,,,,,,pick up,,,,,
FITZ ROY,,,,,,,,playera,,,,,
"FLORES, VENANCIO, GRAL.",,,,,,,,pointer,,,,,
FLORESTA,,,,,,,,polara,,,,,
FLORIDA,,,,,,,,polo,,,,,
FONROUGE,,,,,,,,pop 100,,,,,
GOMEZ DE FONSECA,,,,,,,,pop 110,,,,,
"FONTANA, LUIS JORGE CORONEL",,,,,,,,prisma,,,,,
FOREST AV.,,,,,,,,pt cruiser,,,,,
"NAON, ROMULO",,,,,,,,pulsar 200,,,,,
FORMOSA,,,,,,,,punto,,,,,
"FOULLIER, FELIX O.",,,,,,,,qm125,,,,,
FOURNIER,,,,,,,,qm 125 super,,,,,
FRAGA,,,,,,,,qq,,,,,
FRAGATA CEFIRO,,,,,,,,quantum,,,,,
FRAGATA HALCON,,,,,,,,quasar,,,,,
FRAGATA HERCULES,,,,,,,,quasar 260,,,,,
FRAGATA LA ARGENTINA,,,,,,,,quattro,,,,,
FRAGATA PRES. SARMIENTO,,,,,,,,qubo,,,,,
FRAGATA TRINIDAD,,,,,,,,queen,,,,,
FRAGUEIRO,,,,,,,,queen 200,,,,,
FRANCO,,,,,,,,r,,,,,
FRANKLIN,,,,,,,,r 1,,,,,
FRATERNIDAD,,,,,,,,r 150,,,,,
FRENCH,,,,,,,,r 250,,,,,
"FREYRE, MARCELINO E., CNEL. AV.",,,,,,,,r 26,,,,,
"FREIRE, RAMON, CAP. GRAL.",,,,,,,,r 420,,,,,
"FRIAS, EUSTOQUIO, TTE. GENERAL",,,,,,,,ram,,,,,
"FITTE, MARCELO J., DR.",,,,,,,,ranchero,,,,,
"VAZ FERREIRA, CARLOS, DR.",,,,,,,,ranger,,,,,
"FERNANDEZ MORENO, BALDOMERO",,,,,,,,rav4,,,,,
FRAGATA 25 DE MAYO,,,,,,,,rb 200,,,,,
FALUCHO SAN LUIS,,,,,,,,rb 225,,,,,
"NOBLE, JULIO ARGENTINO",,,,,,,,rd,,,,,
"GAINZA, MARTIN DE, GRAL.",,,,,,,,rd 125,,,,,
"GAITAN, LUIS",,,,,,,,rd 150,,,,,
"GAITO, CONSTANTINO",,,,,,,,rd 200,,,,,
GALENO,,,,,,,,rd 250,,,,,
GALICIA,,,,,,,,re 125,,,,,
GALILEO,,,,,,,,rebel,,,,,
GALVAN,,,,,,,,rebel 250,,,,,
GALLARDO,,,,,,,,regatta,,,,,
"GALLARDO, ANGEL AV.",,,,,,,,rks,,,,,
GALLEGOS,,,,,,,,rkv,,,,,
GALLO,,,,,,,,rkv 200,,,,,
"GALLO, DELFIN",,,,,,,,rodado 16,,,,,
GAMARRA,,,,,,,,rodado 20,,,,,
"GAMBOA, MARCELO",,,,,,,,rodado 24,,,,,
GANA,,,,,,,,rodado 26,,,,,
GANDARA,,,,,,,,rodado 28,,,,,
"GANDHI, MAHATMA",,,,,,,,rodeo,,,,,
GAONA AV.,,,,,,,,rouser,,,,,
"GARAY, JUAN DE AV.",,,,,,,,rouser 135,,,,,
"GARCIA, CEFERINO, AGENTE",,,,,,,,rouser 200,,,,,
GARCIA DEL RIO,,,,,,,,rouser 220,,,,,
GARCIA DEL RIO AV.,,,,,,,,rr,,,,,
"GARCIA, JUAN AGUSTIN",,,,,,,,runner,,,,,
"GARCIA, MANUEL",,,,,,,,rv,,,,,
"GARCIA, MANUEL J., ALTE.",,,,,,,,rx,,,,,
"GARCIA, MARTIN AV.",,,,,,,,rx 125,,,,,
"GARCIA, TEODORO",,,,,,,,rx 150,,,,,
"GARDEL, CARLOS",,,,,,,,rx 150 sport,,,,,
GARIBALDI,,,,,,,,rx 152,,,,,
GARMENDIA AV.,,,,,,,,rx 200,,,,,
GARRO,,,,,,,,rx 25,,,,,
GARZON EUGENIO GENERAL,,,,,,,,rx 250,,,,,
"GARZON, EUGENIO, GRAL. AV.",,,,,,,,rxr,,,,,
GASCON,,,,,,,,rxz 135,,,,,
GAVILAN,,,,,,,,rz,,,,,
GELLY,,,,,,,,rz 150,,,,,
"GELLY Y OBES, GRAL. AV.",,,,,,,,rz 25,,,,,
GENA,,,,,,,,rz 250,,,,,
GENOVA,,,,,,,,s 10,,,,,
"GERCHUNOFF, ALBERTO",,,,,,,,s 2,,,,,
GIBRALTAR,,,,,,,,s2 125,,,,,
GIBSON,,,,,,,,s2 150,,,,,
"GIMENEZ, ANGEL M.",,,,,,,,s40,,,,,
GINEBRA,,,,,,,,s70,,,,,
"GIORELLO, PABLO",,,,,,,,saab,,,,,
GIRARDOT,,,,,,,,safira,,,,,
GIRIBONE,,,,,,,,sahel,,,,,
"GIUFFRA, JOSE M.,DR.",,,,,,,,salute,,,,,
GODOY CRUZ,,,,,,,,samara,,,,,
"GODOY, RUPERTO",,,,,,,,sandero,,,,,
"GOLFARINI, JUAN ANGEL, DR.",,,,,,,,santa fe,,,,,
"GOMEZ, INDALECIO",,,,,,,,santamo,,,,,
"GOMEZ, JUAN CARLOS",,,,,,,,santana,,,,,
"GOMEZ SOMAVILLA, JOAQUIN",,,,,,,,sapucai 125,,,,,
"GOMEZ, VALENTIN",,,,,,,,satelix,,,,,
GONCALVES DIAS,,,,,,,,saveiro,,,,,
"GONZALEZ, AGUSTIN, ING.",,,,,,,,saxo,,,,,
GONZALEZ CATAN,,,,,,,,scenic,,,,,
"GONZALES CHAVES, ADOLFO",,,,,,,,scooter,,,,,
"GONZALEZ, ELPIDIO",,,,,,,,scooter 125,,,,,
"GONZALEZ, JOAQUIN V.",,,,,,,,scrambler,,,,,
"GONZALEZ, JULIO VICTOR",,,,,,,,sdh,,,,,
"GONZALEZ, ROQUE",,,,,,,,sdh 110,,,,,
"GORDILLO, JOSE O., CNEL.",,,,,,,,sdh125,,,,,
"GORDILLO, TIMOTEO",,,,,,,,sebring,,,,,
GOROSTIAGA,,,,,,,,sedan,,,,,
GORRITI,,,,,,,,senda,,,,,
GOYA,,,,,,,,sentra,,,,,
"GOYENA, PEDRO AV.",,,,,,,,sexy 110,,,,,
"GRANADA, NICOLAS",,,,,,,,sexy 125,,,,,
"GRANADA, NICOLAS, CORONEL",,,,,,,,sexy 150,,,,,
GRANADEROS,,,,,,,,shadow,,,,,
"GRANDOLI, MARTIN",,,,,,,,sharan,,,,,
"GRANVILLE, GUILLERMO ENRIQUE",,,,,,,,shogun,,,,,
GRECIA,,,,,,,,siena,,,,,
GRITO DE ASENCIO,,,,,,,,siena fire,,,,,
"MASANTONIO, HERMINIO",,,,,,,,sierra,,,,,
GRIVEO,,,,,,,,sigma,,,,,
PADRE FEDERICO GROTE,,,,,,,,silverado,,,,,
"GROUSSAC, PAUL",,,,,,,,sirius,,,,,
GUAL,,,,,,,,skua,,,,,
